gross,name
1494969,A Cry in the Wild
1414017,The Field
15379253,Mr. Destiny
22998000,The Russia House
4134992,Heart Condition
29888235,Green Card
16153600,Mo' Better Blues
141864,Days of Being Wild
5820015,Stanley & Iris
14760451,Fire Birds
12626043,Bad Influence
20005435,Taking Care of Business
1516414,Life Is Sweet
1554742,Truly Madly Deeply
2075084,The Sheltering Sky
2670,Close-Up
9243140,Havana
3989297,"Welcome Home, Roxy Carmichael"
1155800,The Hairdresser's Husband
1382462,Repossessed
6488144,Flashback
27627310,Cadillac Man
358047,American Ninja 4: The Annihilation
349618,Two Evil Eyes
7331647,Alice
17037887,The Guardian
10873237,Narrow Margin
2319124,White Hunter Black Heart
6698361,Delta Force 2: The Colombian Connection
2938208,Metropolitan
356122,Trust
1171762,The Boyfriend School
3299382,Happily Ever After
1627955,Brain Dead
11207891,Q & A
15740796,Avalon
2070871,Cadence
4011793,Mountains of the Moon
24707633,Ghost Dad
1054638,An Angel at My Table
13236513,Crazy People
4263112,Lambada
25029569,Ernest Goes to Jail
22424195,The First Power
2231274,Vincent & Theo
15369573,Spaced Invaders
2268181,Texasville
2678414,"After Dark, My Sweet"
8533973,Ski Patrol
1242995,Slumber Party Massacre III
4562778,Graffiti Bridge
449868,Side Out
10900000,Jetsons: The Movie
6070725,Men Don't Leave
5575738,Europa Europa
10959015,Nuns on the Run
5585154,Loose Cannons
20240128,Stella
1823154,The Forbidden Dance
7698010,Mr. & Mrs. Bridge
21036771,Madhouse
4803039,The Long Walk Home
1030938,Hidden Agenda
1382259,Book of Love
19740070,Betsy's Wedding
715983,Coupe de Ville
3417056,A Shock to the System
8141292,Funny About Love
17854930,Sibling Rivalry
2032973,Gate 2: The Trespassers
334748,Roger Corman's Frankenstein Unbound
1745470,Everybody's Fine
847306,Come See the Paradise
485772,Meet the Applegates
458996,The Shrimp on the Barbie
1471,Boiling Point
1781694,El prÌncipe Cascanueces
2415312,Body Chemistry
233150,Soultaker
774048,Mindwalk
1106475,Where the Heart Is
59227,Crossing the Line
11359129,Opportunity Knocks
2218579,Def by Temptation
1510053,Streets
1794001,Tune in Tomorrow...
1986433,Ju Dou
2281569,The Nasty Girl
1393610,Courage Mountain
2346150,Downtown
1305887,The Fourth War
1161135,To Sleep with Anger
1547867,The Haunting of Morella
2544504,Impulse
4010647,Short Time
1477071,My Mother's Castle
1224605,Vital Signs
1372350,Everybody Wins
299090,"°Ay, Carmela!"
1464242,Mister Johnson
1436308,Love at Large
4212828,China Cry: A True Story
10468,Love & Murder
152982,A Show of Force
201332,A Tale of Springtime
805462,C'est la vie
1576702,May Fools
113014,The Misadventures of Mr. Wilt
1710856,My Father's Glory
604624,Auntie Danielle
1373728,Daddy's Dyin'... Who's Got the Will?
261718,Journey of Hope
410880,Ultra Warrior
855810,Angel Town
808690,Waiting for the Light
1531489,The Last of the Finest
33308,Archangel
139155,Men of Respect
541626,Strike It Rich
307775,Heaven and Earth
52148,"I, the Worst of All"
115983,The End of Innocence
169410,Taxi Blues
610402,The Return of Superfly
85395,Chicago Joe and the Showgirl
130742922,The Silence of the Lambs
204843350,Terminator 2: Judgment Day
218967620,Beauty and the Beast
57504069,Boyz n the Hood
113502000,The Addams Family
82418501,Fried Green Tomatoes
119654823,Hook
43218387,Punto de quiebra
45361000,Thelma & Louise
79100000,Cape Fear
59847242,My Girl
165500000,Robin Hood: Prince of Thieves
14919570,The Commitments
14960255,Child's Play 3
2807854,Return to the Blue Lagoon
74888996,Star Trek VI: The Undiscovered Country
70405498,JFK
6153939,Barton Fink
46704056,The Rocketeer
2541541,Naked Lunch
89325780,Father of the Bride
69467617,Hot Shots!
8479793,Nothing But Trouble
1794187,Delicatessen
25104700,Problem Child 2
63710000,What About Bob?
6401336,My Own Private Idaho
124033791,City Slickers
35183792,The Doors
41895491,The Fisher King
59509925,The Last Boy Scout
77868585,Backdraft
101599005,Sleeping with the Enemy
25196249,Don't Tell Mom the Babysitter's Dead
24204154,The People Under the Stairs
2853801,The Man in the Moon
15073942,Toy Soldiers
47624253,New Jack City
