,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
2888,10000000,Miramax,Robert Iscove,Comedy,63366989,She's all that,PG-13,1/29/99,95,5.8,Freddie Prinze Jr.,71905,R. Lee Fleming Jr.
2889,135000000,Danjaq,Michael Apted,Action,126943684,The world is not enough,PG-13,11/19/99,128,6.4,Pierce Brosnan,165433,Neal Purvis
2890,100000000,Beacon Communications,Peter Hyams,Action,66889043,End of days,R,11/24/99,121,5.7,Arnold Schwarzenegger,94188,Andrew W. Marlowe
2891,10000000,View Askew Productions,Kevin Smith,Adventure,30651422,Dogma,R,11/12/99,130,7.4,Ben Affleck,189591,Kevin Smith
2892,130000000,Walt Disney Pictures,Chris Buck,Animation,171091819,Tarzan,G,6/18/99,88,7.2,Tony Goldwyn,160561,Tab Murphy
2893,16000000,MTV Films,Brian Robbins,Comedy,52885587,Varsity blues,R,1/15/99,106,6.4,James Van Der Beek,37062,W. Peter Iliff
2894,82000000,Universal Pictures,Milos Forman,Biography,34580635,Man on the moon,R,12/22/99,118,7.4,Jim Carrey,105653,Scott Alexander
2895,66000000,Twentieth Century Fox Film Corporation,Jon Amiel,Action,87704396,Entrapment,PG-13,4/30/99,113,6.3,Sean Connery,93659,Ronald Bass
2896,70000000,Warner Bros.,Brad Bird,Animation,23159305,The iron giant,PG,8/6/99,86,8.0,Eli Marienthal,140243,Tim McCanlies
2897,17000000,Happy Madison Productions,Mike Mitchell,Comedy,65538755,Deuce bigalow: male gigolo,R,12/10/99,88,5.7,Rob Schneider,62761,Harris Goldberg
2898,48000000,United Artists,John McTiernan,Crime,69304264,The thomas crown affair,R,8/6/99,113,6.8,Pierce Brosnan,76693,Alan Trustman
2899,12000000,ETIC Films,Antonia Bird,Fantasy,2060953,Voraz,R,3/19/99,101,7.0,Guy Pearce,31991,Ted Griffin
2900,80000000,Imagine Entertainment,Ted Demme,Comedy,63844974,Life,R,4/16/99,108,6.7,Eddie Murphy,36302,Robert Ramsey
2901,25000000,Universal Pictures,Joe Johnston,Biography,32481825,October sky,PG,2/19/99,108,7.8,Jake Gyllenhaal,69372,Homer H. Hickam Jr.
2902,68000000,Touchstone Pictures,Michael Mann,Biography,28965197,The insider,R,11/5/99,157,7.9,Russell Crowe,141001,Marie Brenner
2903,75000000,Warner Bros.,David O. Russell,Action,60652036,Three kings,R,10/1/99,114,7.1,George Clooney,145142,John Ridley
2904,38000000,Artisan Entertainment,Roman Polanski,Mystery,18661336,La ˙ltima puerta,R,3/10/00,133,6.7,Johnny Depp,144875,Arturo PÈrez-Reverte
2905,55000000,Warner Bros.,Oliver Stone,Drama,75530832,Any given sunday,R,12/22/99,162,6.8,Al Pacino,101796,Daniel Pyne
2906,100000000,1492 Pictures,Chris Columbus,Comedy,58220776,Bicentennial man,PG,12/17/99,132,6.8,Robin Williams,94773,Isaac Asimov
2907,55000000,Universal Pictures,Frank Oz,Comedy,66384775,Bowfinger,PG-13,8/13/99,97,6.4,Steve Martin,59541,Steve Martin
2908,0,Alliance Atlantis Communications,David Cronenberg,Horror,2840417,Existenz: mundo virtual,R,4/23/99,97,6.8,Jude Law,82097,David Cronenberg
2909,2000000,Fox Searchlight Pictures,Kimberly Peirce,Biography,11533945,Boys don't cry,R,3/31/00,118,7.6,Hilary Swank,81901,Kimberly Peirce
2910,160000000,Touchstone Pictures,John McTiernan,Action,32698899,The 13th warrior,R,8/27/99,102,6.6,Antonio Banderas,105423,Michael Crichton
2911,3500000,Crossroads Films,Darren Stein,Comedy,3071947,Jawbreaker,R,2/19/99,87,5.5,Rose McGowan,20256,Darren Stein
2912,73000000,Columbia Pictures Corporation,Phillip Noyce,Crime,66518655,The bone collector,R,11/5/99,118,6.7,Denzel Washington,129642,Jeffery Deaver
